,image_path_rel,capture_id,capture_date_local,capture_time_local,label
0,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/D02/D02_R1/S10_D02_R1_IMAG0125.JPG,SER_S10#D02#1#56,2015-03-09,09:28:16,48
1,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/I06/I06_R1/S10_I06_R1_IMAG1500.JPG,SER_S10#I06#1#535,2015-03-03,15:16:59,48
2,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/I03/I03_R1/S1_I03_R1_PICT5758.JPG,SER_S1#I03#1#1872,2010-10-09,00:57:58,10
3,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/I03/I03_R3/S10_I03_R3_IMAG0778.JPG,SER_S10#I03#3#272,2015-05-11,12:02:02,48
4,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/G02/G02_R2/S1_G02_R2_PICT0011.JPG,SER_S1#G02#2#5,2010-08-13,19:23:48,15
5,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/H07/H07_R1/S10_H07_R1_IMAG0693.JPG,SER_S10#H07#1#238,2015-03-04,12:07:46,48
6,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/H03/H03_R2/S10_H03_R2_IMAG0065.JPG,SER_S10#H03#2#32,2015-03-03,02:50:31,4
7,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/C04/C04_R4/S1_C04_R4_PICT0370.JPG,SER_S1#C04#4#126,2010-09-06,13:59:24,15
8,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/I05/I05_R1/S10_I05_R1_IMAG2748.JPG,SER_S10#I05#1#945,2015-03-06,14:07:03,48
9,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/E02/E02_R1/S10_E02_R1_IMAG1166.JPG,SER_S10#E02#1#442,2014-12-31,14:32:55,10
10,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C04/C04_R2/S10_C04_R2_IMAG0266.JPG,SER_S10#C04#2#135,2015-03-21,13:11:43,48
11,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/F06/F06_R1/S10_F06_R1_IMAG0932.JPG,SER_S10#F06#1#343,2015-03-06,14:17:27,49
12,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/R12/R12_R2/S1_R12_R2_PICT1529.JPG,SER_S1#R12#2#511,2010-11-04,18:49:36,15
13,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/Q07/Q07_R1/S1_Q07_R1_PICT0248.JPG,SER_S1#Q07#1#84,2010-11-01,17:45:12,45
14,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/H05/H05_R2/S1_H05_R2_PICT0430.JPG,SER_S1#H05#2#144,2010-09-24,13:51:06,15
15,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C13/C13_R1/S10_C13_R1_IMAG3702.JPG,SER_S10#C13#1#1292,2015-03-03,15:15:34,48
16,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/D11/D11_R1/S1_D11_R1_PICT0023.JPG,SER_S1#D11#1#9,2010-09-23,15:32:26,45
17,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/D03/D03_R2/S10_D03_R2_IMAG0523.JPG,SER_S10#D03#2#209,2015-04-05,07:23:13,48
18,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/J06/J06_R3/S1_J06_R3_PICT1758.JPG,SER_S1#J06#3#587,2010-10-19,10:29:38,49
19,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/D09/D09_R2/S1_D09_R2_PICT0089.JPG,SER_S1#D09#2#31,2010-08-09,12:40:16,15
20,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/I01/I01_R2/S10_I01_R2_IMAG0918.JPG,SER_S10#I01#2#366,2015-05-12,09:42:12,48
21,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/E13/E13_R1/S1_E13_R1_PICT0236.JPG,SER_S1#E13#1#80,2010-09-26,14:29:08,18
22,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/D03/D03_R1/S1_D03_R1_PICT0058.JPG,SER_S1#D03#1#57,2010-07-24,12:31:42,17
23,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/H02/H02_R2/S10_H02_R2_IMAG2443.JPG,SER_S10#H02#2#1229,2015-03-23,08:50:39,45
24,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C13/C13_R1/S10_C13_R1_IMAG4484.JPG,SER_S10#C13#1#1554,2015-03-04,16:49:27,48
25,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/E02/E02_R5/S1_E02_R5_PICT0292.JPG,SER_S1#E02#5#99,2010-11-01,08:35:00,4
26,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/G06/G06_R3/S1_G06_R3_PICT0379.JPG,SER_S1#G06#3#127,2010-09-08,02:03:30,15
27,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C13/C13_R2/S10_C13_R2_IMAG2824.JPG,SER_S10#C13#2#1150,2015-04-12,11:11:08,48
28,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/P10/P10_R2/S1_P10_R2_PICT0209.JPG,SER_S1#P10#2#71,2010-11-08,06:18:20,15
29,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/J05/J05_R4/S1_J05_R4_PICT0626.JPG,SER_S1#J05#4#210,2010-10-26,10:16:54,49
30,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/F05/F05_R2/S1_F05_R2_PICT1414.JPG,SER_S1#F05#2#472,2010-09-19,11:24:06,15
31,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/I06/I06_R1/S10_I06_R1_IMAG0221.JPG,SER_S10#I06#1#90,2015-02-24,11:37:14,49
32,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/K07/K07_R1/S1_K07_R1_PICT1574.JPG,SER_S1#K07#1#526,2010-10-26,11:56:50,17
33,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/R10/R10_R1/S1_R10_R1_PICT0797.JPG,SER_S1#R10#1#267,2010-09-29,12:11:38,15
34,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/D03/D03_R1/S10_D03_R1_IMAG0202.JPG,SER_S10#D03#1#76,2015-02-17,15:24:31,13
35,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/F08/F08_R3/S1_F08_R3_PICT1520.JPG,SER_S1#F08#3#509,2010-09-08,13:28:58,14
36,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/B13/B13_R1/S10_B13_R1_IMAG2466.JPG,SER_S10#B13#1#864,2015-03-03,09:01:35,48
37,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C11/C11_R2/S10_C11_R2_IMAG0195.JPG,SER_S10#C11#2#88,2015-04-06,15:40:09,18
38,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/P07/P07_R1/S1_P07_R1_PICT0083.JPG,SER_S1#P07#1#29,2010-09-05,11:33:36,15
39,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/E09/E09_R2/S1_E09_R2_PICT0581.JPG,SER_S1#E09#2#195,2010-08-18,12:52:30,15
40,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C02/C02_R1/S10_C02_R1_IMAG0998.JPG,SER_S10#C02#1#362,2015-03-11,14:12:11,48
41,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C04/C04_R2/S10_C04_R2_IMAG0142.JPG,SER_S10#C04#2#73,2015-03-21,09:47:53,15
42,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/B12/B12_R2/S10_B12_R2_IMAG2688.JPG,SER_S10#B12#2#938,2015-04-11,21:31:32,49
43,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/E09/E09_R2/S10_E09_R2_IMAG0244.JPG,SER_S10#E09#2#82,2015-03-26,13:37:14,15
44,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/F10/F10_R1/S10_F10_R1_IMAG1349.JPG,SER_S10#F10#1#480,2015-03-19,12:12:13,15
45,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/E03/E03_R2/S10_E03_R2_IMAG0210.JPG,SER_S10#E03#2#128,2015-02-21,20:46:06,49
46,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/H05/H05_R2/S1_H05_R2_PICT0496.JPG,SER_S1#H05#2#166,2010-09-25,23:12:46,15
47,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/H05/H05_R2/S1_H05_R2_PICT0700.JPG,SER_S1#H05#2#234,2010-09-28,18:03:06,15
48,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/I07/I07_R1/S1_I07_R1_PICT2191.JPG,SER_S1#I07#1#732,2010-10-22,00:58:48,13
49,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/H02/H02_R2/S10_H02_R2_IMAG0448.JPG,SER_S10#H02#2#286,2015-02-20,09:21:40,4
50,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/K03/K03_R1/S1_K03_R1_PICT0374.JPG,SER_S1#K03#1#126,2010-09-21,12:42:36,15
51,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/D05/D05_R5/S1_D05_R5_PICT0257.JPG,SER_S1#D05#5#87,2010-09-28,19:00:06,23
52,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/F10/F10_R1/S10_F10_R1_IMAG2609.JPG,SER_S10#F10#1#900,2015-03-21,14:13:17,15
53,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/D02/D02_R1/S1_D02_R1_PICT1511.JPG,SER_S1#D02#1#503,2010-10-06,04:51:30,4
54,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/F10/F10_R1/S10_F10_R1_IMAG1382.JPG,SER_S10#F10#1#491,2015-03-19,12:44:01,15
55,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/L13/L13_R1/S1_L13_R1_PICT0227.JPG,SER_S1#L13#1#77,2010-10-06,14:11:12,45
56,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/C01/C01_R1/S10_C01_R1_IMAG0426.JPG,SER_S10#C01#1#170,2015-02-16,07:31:35,49
57,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S10/I03/I03_R3/S10_I03_R3_IMAG0997.JPG,SER_S10#I03#3#345,2015-05-11,14:49:50,48
58,/mnt/DADOS_PARIS_2/alexandre/512_/mnt/DADOS_PARIS_2/alexandre/dataset-serengethi-18-02-23/S1/K07/K07_R1/S1_K07_R1_PICT1262.JPG,SER_S1#K07#1#422,2010-10-19,16:04:40,15
